date,campaign_id,campaign_name,impressions,clicks,inbounds,outbounds,spend_gbp,
15/03/2025,3,Champions_Sports_Promo,54309,2067,1978,811,78.66,
14/03/2025,1,Spring_Slots_Push,55543,1381,1342,601,281.15,
14/03/2025,2,Welcome_Bonus_Drive,57786,2516,2484,846,129.78,
14/03/2025,3,Champions_Sports_Promo,54891,1863,1800,872,187.52,
13/03/2025,1,Spring_Slots_Push,78034,1592,1558,899,184.31,
13/03/2025,2,Welcome_Bonus_Drive,35697,1747,1688,664,89.01,
13/03/2025,3,Champions_Sports_Promo,25208,542,520,170,140.54,
12/03/2025,1,Spring_Slots_Push,74825,1597,1534,882,245.88,
12/03/2025,2,Welcome_Bonus_Drive,54258,2395,2299,1109,150.68,
12/03/2025,3,Champions_Sports_Promo,31999,920,887,390,100.15,
11/03/2025,1,Spring_Slots_Push,99274,1766,1702,889,295.2,
11/03/2025,2,Welcome_Bonus_Drive,64844,2660,2620,1102,139.23,
11/03/2025,3,Champions_Sports_Promo,36977,746,724,250,77.69,
10/03/2025,1,Spring_Slots_Push,56881,1459,1393,637,281.33,
10/03/2025,2,Welcome_Bonus_Drive,68589,3184,3087,1415,150.05,
10/03/2025,3,Champions_Sports_Promo,38480,1194,1163,661,83.9,
09/03/2025,1,Spring_Slots_Push,84830,1034,1004,321,246.03,
09/03/2025,2,Welcome_Bonus_Drive,53777,2591,2542,874,159.81,
09/03/2025,3,Champions_Sports_Promo,37933,766,739,436,113.01,
08/03/2025,1,Spring_Slots_Push,95665,2191,2144,1005,247.17,
08/03/2025,2,Welcome_Bonus_Drive,63516,2673,2584,894,179.24,
08/03/2025,3,Champions_Sports_Promo,48418,1335,1319,493,97.82,
07/03/2025,1,Spring_Slots_Push,58420,1436,1388,645,189.1,
07/03/2025,2,Welcome_Bonus_Drive,40703,1546,1473,554,122.53,
07/03/2025,3,Champions_Sports_Promo,29387,902,859,446,199.35,
06/03/2025,1,Spring_Slots_Push,84253,2377,2352,1133,226.59,
06/03/2025,2,Welcome_Bonus_Drive,36488,1578,1501,466,94.17,
06/03/2025,3,Champions_Sports_Promo,34104,1335,1300,474,110.27,
05/03/2025,1,Spring_Slots_Push,58173,1170,1128,522,213.46,
05/03/2025,2,Welcome_Bonus_Drive,30005,1049,998,582,170.46,
05/03/2025,3,Champions_Sports_Promo,39228,1301,1259,595,157.31,
04/03/2025,1,Spring_Slots_Push,93160,2604,2492,1195,176.99,
04/03/2025,2,Welcome_Bonus_Drive,66354,2584,2487,775,137.51,
04/03/2025,3,Champions_Sports_Promo,30565,664,637,335,71.85,
03/03/2025,1,Spring_Slots_Push,85226,1167,1146,350,233.41,
03/03/2025,2,Welcome_Bonus_Drive,65154,2975,2889,922,163.71,
03/03/2025,3,Champions_Sports_Promo,55322,1896,1861,627,165.42,
02/03/2025,1,Spring_Slots_Push,87550,2604,2523,1281,164.18,
02/03/2025,2,Welcome_Bonus_Drive,68854,2315,2244,1107,123.37,
02/03/2025,3,Champions_Sports_Promo,57448,1292,1244,639,180.71,
01/03/2025,1,Spring_Slots_Push,93957,2177,2135,1194,247.55,
01/03/2025,2,Welcome_Bonus_Drive,48036,2048,1982,601,91.66,
01/03/2025,3,Champions_Sports_Promo,27998,833,813,368,63.22,
28/02/2025,1,Spring_Slots_Push,83779,1927,1876,1108,244.05,
28/02/2025,2,Welcome_Bonus_Drive,56476,1971,1881,788,110.27,
28/02/2025,3,Champions_Sports_Promo,59069,2309,2253,929,156.85,
27/02/2025,1,Spring_Slots_Push,97576,2646,2524,1351,278.76,
27/02/2025,2,Welcome_Bonus_Drive,54677,2679,2590,1430,172.6,
27/02/2025,3,Champions_Sports_Promo,26294,712,689,402,76.43,
26/02/2025,1,Spring_Slots_Push,88036,2404,2289,1328,195.61,
26/02/2025,2,Welcome_Bonus_Drive,40727,1691,1636,727,169.72,
26/02/2025,3,Champions_Sports_Promo,33747,822,805,419,61.28,
25/02/2025,1,Spring_Slots_Push,60432,1802,1751,702,251.68,
25/02/2025,2,Welcome_Bonus_Drive,52826,2385,2303,1055,108.3,
25/02/2025,3,Champions_Sports_Promo,32785,1115,1083,356,105.28,
24/02/2025,1,Spring_Slots_Push,74687,834,819,283,257.51,
24/02/2025,2,Welcome_Bonus_Drive,44750,1969,1874,1048,97.9,
24/02/2025,3,Champions_Sports_Promo,51949,1794,1725,939,187.73,
23/02/2025,1,Spring_Slots_Push,64346,1286,1245,598,171.88,
23/02/2025,2,Welcome_Bonus_Drive,32250,1353,1302,777,92.35,
23/02/2025,3,Champions_Sports_Promo,57615,1703,1674,750,158.58,
22/02/2025,1,Spring_Slots_Push,85101,1174,1133,483,265.69,
22/02/2025,2,Welcome_Bonus_Drive,38277,1546,1505,551,119.53,
22/02/2025,3,Champions_Sports_Promo,55277,2047,1970,1073,101.56,
21/02/2025,1,Spring_Slots_Push,65293,944,901,293,163.37,
21/02/2025,2,Welcome_Bonus_Drive,68810,3354,3286,1100,116.77,
21/02/2025,3,Champions_Sports_Promo,40537,1584,1541,463,68.66,
20/02/2025,1,Spring_Slots_Push,95336,1587,1521,719,288.58,
20/02/2025,2,Welcome_Bonus_Drive,34238,1468,1416,729,153.6,
20/02/2025,3,Champions_Sports_Promo,45011,1488,1460,861,121.17,
19/02/2025,1,Spring_Slots_Push,56912,1064,1041,362,289.35,
19/02/2025,2,Welcome_Bonus_Drive,55132,2498,2395,903,127.63,
19/02/2025,3,Champions_Sports_Promo,28067,934,921,451,128.87,
18/02/2025,1,Spring_Slots_Push,82632,2143,2061,1034,232.31,
18/02/2025,2,Welcome_Bonus_Drive,60592,2021,1956,654,146.26,
18/02/2025,3,Champions_Sports_Promo,35787,889,850,495,157.99,
17/02/2025,1,Spring_Slots_Push,55332,938,926,539,221.42,
17/02/2025,2,Welcome_Bonus_Drive,36583,1634,1571,563,94.32,
17/02/2025,3,Champions_Sports_Promo,54082,2029,1991,1025,64.44,
16/02/2025,1,Spring_Slots_Push,77074,1788,1698,834,291.29,
16/02/2025,2,Welcome_Bonus_Drive,51114,1550,1494,468,160.76,
16/02/2025,3,Champions_Sports_Promo,41333,1387,1330,592,163.49,
15/02/2025,1,Spring_Slots_Push,71643,1871,1777,997,210.27,
15/02/2025,2,Welcome_Bonus_Drive,39100,1193,1139,523,175.11,
15/02/2025,3,Champions_Sports_Promo,36288,993,967,481,126.53,
14/02/2025,1,Spring_Slots_Push,99896,1530,1483,781,240.66,
14/02/2025,2,Welcome_Bonus_Drive,52056,1947,1918,1150,161.68,
14/02/2025,3,Champions_Sports_Promo,43672,1454,1403,444,109.84,
13/02/2025,1,Spring_Slots_Push,68137,768,730,270,222.78,
13/02/2025,2,Welcome_Bonus_Drive,36606,1105,1061,622,146.53,
13/02/2025,3,Champions_Sports_Promo,22743,498,483,145,144.42,
12/02/2025,1,Spring_Slots_Push,79534,1697,1626,585,262.49,
12/02/2025,2,Welcome_Bonus_Drive,42575,1498,1477,624,142.68,
12/02/2025,3,Champions_Sports_Promo,27156,1014,970,376,112.88,
11/02/2025,1,Spring_Slots_Push,61036,1606,1525,489,254.45,
11/02/2025,2,Welcome_Bonus_Drive,64403,2469,2374,1019,97.64,
11/02/2025,3,Champions_Sports_Promo,32215,1097,1050,372,192.79,
10/02/2025,1,Spring_Slots_Push,88409,1428,1380,776,259.15,
10/02/2025,2,Welcome_Bonus_Drive,35824,1153,1121,604,161.42,
10/02/2025,3,Champions_Sports_Promo,37630,1316,1299,544,103.13,
09/02/2025,1,Spring_Slots_Push,92231,2234,2156,1103,296.12,
09/02/2025,2,Welcome_Bonus_Drive,35265,1423,1362,581,162.97,
09/02/2025,3,Champions_Sports_Promo,36572,1237,1199,551,184.13,
08/02/2025,1,Spring_Slots_Push,73685,1666,1627,828,246.8,
08/02/2025,2,Welcome_Bonus_Drive,47126,1984,1959,674,104.74,
08/02/2025,3,Champions_Sports_Promo,57902,2260,2223,675,167.94,
07/02/2025,1,Spring_Slots_Push,100000,1872,1797,1031,258.34,
07/02/2025,2,Welcome_Bonus_Drive,63397,2801,2732,1121,85.77,
07/02/2025,3,Champions_Sports_Promo,45253,1743,1707,636,64.83,
06/02/2025,1,Spring_Slots_Push,97865,2398,2325,1343,291.04,
06/02/2025,2,Welcome_Bonus_Drive,54454,2051,1973,1176,87.12,
06/02/2025,3,Champions_Sports_Promo,22544,898,857,496,82.73,
05/02/2025,1,Spring_Slots_Push,85205,1112,1088,410,219.55,
05/02/2025,2,Welcome_Bonus_Drive,59727,2130,2071,920,113.32,
05/02/2025,3,Champions_Sports_Promo,50753,1213,1196,360,180.63,
04/02/2025,1,Spring_Slots_Push,73565,1321,1263,546,225.79,
04/02/2025,2,Welcome_Bonus_Drive,58405,2640,2594,1395,81.98,
04/02/2025,3,Champions_Sports_Promo,44996,1284,1224,700,102.03,
03/02/2025,1,Spring_Slots_Push,65486,1319,1275,561,174.62,
03/02/2025,2,Welcome_Bonus_Drive,42945,1498,1433,536,108.54,
03/02/2025,3,Champions_Sports_Promo,49377,1943,1861,1039,127.36,
02/02/2025,1,Spring_Slots_Push,84175,1383,1338,403,280.48,
02/02/2025,2,Welcome_Bonus_Drive,34586,1697,1615,965,173.83,
02/02/2025,3,Champions_Sports_Promo,28228,616,599,329,190.45,
01/02/2025,1,Spring_Slots_Push,92470,2427,2378,876,259.93,
01/02/2025,2,Welcome_Bonus_Drive,52461,1828,1776,1015,146.5,
01/02/2025,3,Champions_Sports_Promo,36275,1306,1277,468,182.18,
31/01/2025,1,Spring_Slots_Push,69438,974,939,462,185.71,
31/01/2025,2,Welcome_Bonus_Drive,69195,3443,3331,1876,93.43,
31/01/2025,3,Champions_Sports_Promo,40810,1341,1314,599,196.86,
30/01/2025,1,Spring_Slots_Push,83490,1904,1826,869,298.26,
30/01/2025,2,Welcome_Bonus_Drive,45244,1376,1348,454,103.64,
30/01/2025,3,Champions_Sports_Promo,48082,1689,1646,523,112.43,
29/01/2025,1,Spring_Slots_Push,95633,1699,1676,890,169.94,
29/01/2025,2,Welcome_Bonus_Drive,41490,1771,1745,689,165.16,
29/01/2025,3,Champions_Sports_Promo,51596,1101,1046,600,122.85,
28/01/2025,1,Spring_Slots_Push,92594,2081,1980,1119,211.66,
28/01/2025,2,Welcome_Bonus_Drive,69247,2769,2740,1407,159.13,
28/01/2025,3,Champions_Sports_Promo,57303,1342,1326,636,197.4,
27/01/2025,1,Spring_Slots_Push,90938,1286,1249,726,168.12,
27/01/2025,2,Welcome_Bonus_Drive,44010,1413,1360,414,145.4,
27/01/2025,3,Champions_Sports_Promo,20785,577,558,178,174.11,
26/01/2025,1,Spring_Slots_Push,50954,853,816,408,183.09,
26/01/2025,2,Welcome_Bonus_Drive,36330,1668,1640,574,96.7,
26/01/2025,3,Champions_Sports_Promo,47242,1429,1404,557,147.75,
25/01/2025,1,Spring_Slots_Push,96950,2249,2145,1087,216.6,
25/01/2025,2,Welcome_Bonus_Drive,69203,2082,2042,1082,172.88,
25/01/2025,3,Champions_Sports_Promo,44552,1700,1628,496,63.91,
24/01/2025,1,Spring_Slots_Push,61039,705,691,347,173.02,
24/01/2025,2,Welcome_Bonus_Drive,53467,1794,1755,996,133.23,
24/01/2025,3,Champions_Sports_Promo,48970,1661,1633,887,149.74,
23/01/2025,1,Spring_Slots_Push,80424,1583,1508,700,186.34,
23/01/2025,2,Welcome_Bonus_Drive,58686,1925,1891,1044,97.06,
23/01/2025,3,Champions_Sports_Promo,21183,680,650,219,163.8,
22/01/2025,1,Spring_Slots_Push,63590,1279,1238,398,254.17,
22/01/2025,2,Welcome_Bonus_Drive,60271,2267,2221,1236,119.67,
22/01/2025,3,Champions_Sports_Promo,20703,517,505,172,153.84,
21/01/2025,1,Spring_Slots_Push,69129,1612,1535,795,285.34,
21/01/2025,2,Welcome_Bonus_Drive,62341,2383,2336,785,116.87,
21/01/2025,3,Champions_Sports_Promo,26895,809,793,335,83.08,
20/01/2025,1,Spring_Slots_Push,61477,1125,1076,522,214.81,
20/01/2025,2,Welcome_Bonus_Drive,55209,2661,2547,1198,119.36,
20/01/2025,3,Champions_Sports_Promo,22861,566,557,212,147.93,
19/01/2025,1,Spring_Slots_Push,66176,1357,1338,754,219.03,
19/01/2025,2,Welcome_Bonus_Drive,67757,2085,1988,981,171.89,
19/01/2025,3,Champions_Sports_Promo,42726,1452,1420,552,145.82,
18/01/2025,1,Spring_Slots_Push,70300,1310,1281,566,240.56,
18/01/2025,2,Welcome_Bonus_Drive,50336,2101,2038,1030,107.54,
18/01/2025,3,Champions_Sports_Promo,20487,815,788,431,144.68,
17/01/2025,1,Spring_Slots_Push,84366,961,915,416,175.77,
17/01/2025,2,Welcome_Bonus_Drive,56926,2153,2130,721,121.84,
17/01/2025,3,Champions_Sports_Promo,24506,680,670,242,181.86,
16/01/2025,1,Spring_Slots_Push,79591,1813,1744,612,251.23,
16/01/2025,2,Welcome_Bonus_Drive,41641,1275,1246,556,98.67,
16/01/2025,3,Champions_Sports_Promo,24554,938,905,327,100.75,
15/01/2025,1,Spring_Slots_Push,60072,1774,1755,825,269.87,
15/01/2025,2,Welcome_Bonus_Drive,69835,2896,2796,1158,174.87,
15/01/2025,3,Champions_Sports_Promo,24175,741,709,235,139.73,
14/01/2025,1,Spring_Slots_Push,98352,1002,984,541,200.97,
14/01/2025,2,Welcome_Bonus_Drive,57469,2213,2168,1146,149.05,
14/01/2025,3,Champions_Sports_Promo,39637,1051,999,535,189.1,
13/01/2025,1,Spring_Slots_Push,97350,2559,2465,803,276.87,
13/01/2025,2,Welcome_Bonus_Drive,58101,2637,2578,935,125,
13/01/2025,3,Champions_Sports_Promo,56598,1166,1114,626,102.78,
12/01/2025,1,Spring_Slots_Push,76464,2211,2173,1145,151.78,
12/01/2025,2,Welcome_Bonus_Drive,63596,3166,3128,1750,102.76,
12/01/2025,3,Champions_Sports_Promo,33754,995,965,517,166.07,
11/01/2025,1,Spring_Slots_Push,52508,1098,1057,531,187.5,
11/01/2025,2,Welcome_Bonus_Drive,47987,1622,1580,539,165.5,
11/01/2025,3,Champions_Sports_Promo,55594,2126,2020,787,175.12,
10/01/2025,1,Spring_Slots_Push,67892,1198,1146,424,246.8,
10/01/2025,2,Welcome_Bonus_Drive,53533,2571,2472,1113,134.67,
10/01/2025,3,Champions_Sports_Promo,25122,897,885,291,69.99,
09/01/2025,1,Spring_Slots_Push,74517,1124,1071,562,194.26,
09/01/2025,2,Welcome_Bonus_Drive,64001,2370,2306,1013,142.11,
09/01/2025,3,Champions_Sports_Promo,47925,1390,1344,551,129.66,
08/01/2025,1,Spring_Slots_Push,81673,1985,1925,732,210.14,
08/01/2025,2,Welcome_Bonus_Drive,68271,2935,2812,1598,125.21,
08/01/2025,3,Champions_Sports_Promo,35360,987,949,537,139.99,
07/01/2025,1,Spring_Slots_Push,63712,1563,1533,823,242.23,
07/01/2025,2,Welcome_Bonus_Drive,40972,1645,1612,795,130.92,
07/01/2025,3,Champions_Sports_Promo,52675,1600,1531,786,133.57,
06/01/2025,1,Spring_Slots_Push,91690,1365,1299,629,178.37,
06/01/2025,2,Welcome_Bonus_Drive,65092,2335,2232,835,142.95,
06/01/2025,3,Champions_Sports_Promo,38354,1436,1413,834,184.02,
05/01/2025,1,Spring_Slots_Push,74402,1727,1705,1011,299.65,
05/01/2025,2,Welcome_Bonus_Drive,58424,2779,2647,908,172.42,
05/01/2025,3,Champions_Sports_Promo,32428,772,745,307,143.94,
04/01/2025,1,Spring_Slots_Push,61421,1031,1002,354,153.22,
04/01/2025,2,Welcome_Bonus_Drive,47156,2273,2161,1087,117.89,
04/01/2025,3,Champions_Sports_Promo,27272,730,699,305,111.75,
03/01/2025,1,Spring_Slots_Push,50440,870,829,256,167.28,
03/01/2025,2,Welcome_Bonus_Drive,49043,1903,1855,1064,115.99,
03/01/2025,3,Champions_Sports_Promo,21945,526,505,184,96.68,
02/01/2025,1,Spring_Slots_Push,52765,1051,1037,509,253.98,
02/01/2025,2,Welcome_Bonus_Drive,60574,2573,2468,1284,175.26,
02/01/2025,3,Champions_Sports_Promo,41726,1508,1455,611,175.65,
01/01/2025,1,Spring_Slots_Push,91979,2591,2542,1023,250.18,
01/01/2025,2,Welcome_Bonus_Drive,60631,2546,2452,1161,176.31,
01/01/2025,3,Champions_Sports_Promo,39636,1124,1075,469,170.49,
